분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,위도(X좌표),경도(Y좌표),유무료,문화포털상세URL
콘서트,종로구,영 아티스트 콘서트,2023-06-04~2023-06-04,꿈의숲 콘서트홀,세종문화회관,8세이상 관람가능,"전석 20,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=34155&menuNo=200004,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=afdd287358144114a7f698afd8be2ea3&thumb=Y,2023.5.30,기관,2023.6.4 0:00,2023.6.4 0:00,기타,37.62025446,127.0443247,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141852&menuNo=200008
콘서트,송파구,2023 한성백제박물관 사계콘서트 [여름],2023-06-03~2023-07-15,한성백제박물관 한성백제홀,한성백제박물관,시민 누구나,,,,,https://baekjemuseum.seoul.go.kr/module/index.jsp?boardid=a&code=EV&mmode=content&mpid=SBM0403000000&pid=21389&strsearch=&d_s_que=&cpage=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2fcfc20ed74d4f3cb3bdd97d2d5d1ec5&thumb=Y,2023.5.24,기관,2023.6.3 0:00,2023.7.15 0:00,문화가 있는 날,37.515505,127.121175,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141816&menuNo=200008
교육/체험,강북구,[강북문화재단] 누가 우리 동네 이야기를 가져갔을까?,2023-06-03~2023-07-07,"창작집단 상상두목 스튜디오(강북구 수유동), 강북구 명소[문화탐방], 삼각산 시민청 갤러리",강북문화재단,강북구에 애정이 있고 문학과 연극에 관심이 많은 분 누구나,,,,,http://gbcf.or.kr/load.asp?subPage=510.view&cate=&idx=944&searchValue=&searchType=&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7169e5e2d037485c87f4dfec8623b52a&thumb=Y,2023.5.18,기관,2023.6.3 0:00,2023.7.7 0:00,기타,,,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141769&menuNo=200011
교육/체험,중구,[엄마아빠행복프로젝트] 2023 시민국악강좌 [남산 율방],2023-06-03~2023-07-01,남산골한옥마을 양육자 : 체험실 / 자녀 : 연습실,남산골한옥마을,양육자와 어린이(5-7세 내외),2인권(어른1+아이1) : 2만원 / 3인권(어른+아이) : 3만원,,,,https://www.hanokmaeul.or.kr/ko/g/perf/%ec%97%84%eb%a7%88%ec%95%84%eb%b9%a0%ed%96%89%eb%b3%b5%ed%94%84%eb%a1%9c%ec%a0%9d%ed%8a%b8-2023-%ec%8b%9c%eb%af%bc%ea%b5%ad%ec%95%85%ea%b0%95%ec%a2%8c-%eb%82%a8%ec%82%b0-%ec%9c%a8%eb%b0%a9,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=00f664e174854ec79f40ce786edb7841&thumb=Y,2023.5.4,기관,2023.6.3 0:00,2023.7.1 0:00,기타,37.5591447,126.9936826,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141568&menuNo=200011
교육/체험,광진구,[서울상상나라] 충성! 태극 쿠키,2023-06-03~2023-06-25,지하 1층 요리놀이실,서울상상나라,5세 이상 어린이,"12,000원(입장료 4,000원 별도)",,,,https://www.seoulchildrensmuseum.org/education/educationList.do,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f78113f17e414b51a9964bd127d5e272&thumb=Y,2023.5.10,기관,2023.6.3 0:00,2023.6.25 0:00,어린이/청소년 문화행사,37.55055,127.077569,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141645&menuNo=200011
축제-문화/예술,종로구,밤의 도서관 [광화문 책마당],2023-06-03~2023-06-25,광화문 광장 육조마당,서울시청,시민 누구나,,,,,https://news.seoul.go.kr/culture/archives/519853?listPage=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0356e0bbfddf496aa3cb4624c74078ba&thumb=Y,2023.5.31,기관,2023.6.3 0:00,2023.6.25 0:00,기타,37.57184786,126.9761683,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141861&menuNo=200010
교육/체험,광진구,[서울상상나라] 태극기 티라미수,2023-06-03~2023-06-25,지하 1층 요리놀이실,서울상상나라,4세 이상 어린이와 보호자 1인,"14,000원(입장료 4,000원 별도)",,,,https://www.seoulchildrensmuseum.org/education/educationList.do,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c1e5fe07727f4b548bd2a510471835a6&thumb=Y,2023.5.10,기관,2023.6.3 0:00,2023.6.25 0:00,어린이/청소년 문화행사,37.55055,127.077569,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141646&menuNo=200011
교육/체험,중구,현대미술 연속강연 - 비엔날레와 아트페어,2023-06-03~2023-06-24,서울시립미술관 서소문 본관 B1 세마홀,서울시립미술관,현대미술에 관심이 있는 일반 성인,,,,,https://sema.seoul.go.kr/kr/whatson/education/detail?acadmyEeNo=1171584,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c919406b7a754390a71b7fbc30268ce2&thumb=Y,2023.5.1,기관,2023.6.3 0:00,2023.6.24 0:00,기타,37.56410607,126.9736993,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141526&menuNo=200011
교육/체험,성동구,바다거북이가 아파요!: 미세플라스틱 문제,2023-06-03~2023-06-24,서울하수도과학관,서울하수도과학관,초등학생,,,1. 환경오염과 미세플라스틱 문제 이해하기 2. 친환경 물병 '오호' 만들기,,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230309150635457375,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=28d5536fb5764ad2951451565ccbbbba&thumb=Y,2023.5.6,기관,2023.6.3 0:00,2023.6.24 0:00,기타,37.5570865,127.0580683,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141584&menuNo=200011
교육/체험,성동구,하수와 재이용수: 날아라 물로켓 자동차,2023-06-03~2023-06-24,서울하수도과학관,서울하수도과학관,초3~초6,,,"1. 상수, 하수, 재이용수 이해하기 2. 재이용수 물로켓 자동차 만들기",,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S230309151156911806,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9cc1a28efa9f497eb317d87881d52bb2&thumb=Y,2023.5.6,기관,2023.6.3 0:00,2023.6.24 0:00,기타,37.5570865,127.0580683,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=141585&menuNo=200011
